"Taxon","Kingdom","Phylum","Class","Order","Family","Genus","Is Gymnosperm"
"Festuca gigantea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
"Galium palustre","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium","No"
"Gnaphalium sylvaticum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gnaphalium","No"
"Gnaphalium uliginosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gnaphalium","No"
"Holcus lanatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Holcus","No"
"Hypericum humifusum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","No"
"Hypericum perforatum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","No"
"Hypericum pulchrum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","No"
"Hypericum tetrapterum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","No"
"Juncus articulatus","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Juncus","No"
"Juncus bufonius","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Juncus","No"
"Juncus bulbosus","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Juncus","No"
"Juncus effusus","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Juncus","No"
"Juncus squarrosus","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Juncus","No"
"Lotus corniculatus var corniculatus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
"Luzula luzuloides","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Luzula","No"
"Luzula multiflora","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Luzula","No"
"Luzula pilosa","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Luzula","No"
"Lysimachia nemorum","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia","No"
"Lythrum salicaria","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","Lythrum","No"
"Mentha arvensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","No"
"Milium effusum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Milium","No"
"Moehringia trinervia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
"Plantago major","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago","No"
"Poa annua","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Poa","No"
"Polygonum lapathifolium","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
"Potentilla erecta","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","No"
"Ranunculus repens","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","No"
"Rubus fruticosus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","No"
"Rubus idaeus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","No"
"Rumex sanguineus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex","No"
"Sambucus nigra","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Viburnaceae","Sambucus","No"
"Scirpus setaceus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
"Scrophularia nodosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","Scrophularia","No"
"Stachys sylvatica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Stachys","No"
"Stellaria holostea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Rabelera","No"
"Stellaria uliginosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
"Typha latifolia","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","Typha","No"
"Unknown spp 1","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
"Urtica dioica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Urtica","No"
"Veronica officinalis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","No"
