id;database;id_comm;id_study;id_study_ori;citation;study;site;plot;id_comm_source;exact_lat;exact_long;age;age_ori;study_year;temp_persp_class2;stage;study_common_taxon;organism_threshold;metric;metric_source;aggregated_data;sampling_method;sampling_effort_within;sampling_effort_among;n_comm;n_comm_available;effort_ori;historic_impact;predisturbances;disturbance1_age;disturbance2;n_disturbances;current_impact;notes;priority;country;study_common_taxon_clean;study_common_taxon_strgroup;disturbance1_age_clean;disturbance2_clean;predisturbances_clean;current_impact_clean;postdisturbance;restoration;protection;use;recovering_cond;coord_accuracy;taxon_level;richness_study;richness;abund;shannon;PD;SR;error_class;lat;lon
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p19_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p19_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p19;NA;p19;51.116.112;3.242.863;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;19;31.745;2.738.765.093.704.610;796.903.057;14;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p2_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p2_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p2;NA;p2;51.122.716;3.222.979;2;2;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;15;26.86;2.371.596.595.210.500;8.193.504.458;13;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p20_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p20_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p20;NA;p20;51.116.262;3.244.078;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;22;34.8;32.301.699.334.981.300;12.442.029.638;18;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p21_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p21_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p21;NA;p21;51.116.128;3.243.749;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;17;75.35;2.510.742.794.561.610;8.219.206.352;14;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p22_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p22_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p22;NA;p22;51.115.985;3.243.391;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;18;41.13;2.447.483.841.427.610;8.535.014.467.999.990;14;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p23_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p23_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p23;NA;p23;51.115.868;3.243.062;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;17;58.37;28.417.510.552.469.200;1.108.285.626;15;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p24_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p24_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p24;NA;p24;51.115.716;3.242.704;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;13;96.48;10.165.493.006.733.600;1.158.551.181;12;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p25_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p25_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p25;NA;p25;51.115.582;324.236;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;13;44.27;22.112.933.653.077.000;648.844.491;9;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p26_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p26_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p26;NA;p26;51.115.439;3.242.017;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;11;74.52;26.660.866.180.332.900;675.283.187;10;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p27_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p27_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p27;NA;p27;51.115.287;3.241.659;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;16;45.87;3.002.489.868.209.260;813.508.484;13;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p28_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p28_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p28;NA;p28;51.115.179;3.241.344;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;91;18;74.62;16.818.098.678.899.100;936.334.162;13;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p29_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p29_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p29;NA;p29;51.112.365;3.245.458;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;16;44.92;1.379.855.896.116.700;10.451.213.648;14;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p3_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p3_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p3;NA;p3;51.123.056;3.223.581;2;2;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;13;43.14;28.787.198.031.837.600;742.332.007;11;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p30_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p30_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p30;NA;p30;511.125;3.245.773;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;16;20.51;2.868.453.476.323.230;917.306.619;14;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p31_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p31_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p31;NA;p31;51.112.652;3.246.131;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;10;50.14;17.315.596.434.159.300;624.207.677;9;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p32_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p32_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p32;NA;p32;5.111.189;3.244.784;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;13;71.28;21.625.975.917.353.200;8.591.163.369.999.990;10;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p33_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p33_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p33;NA;p33;51.111.756;3.244.426;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;9;100;12.159.205.319.575.200;83.438.771;9;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p34_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p34_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p34;NA;p34;51.111.683;3.245.011;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;10;100;2.133.469.615.666.160;763.083.031;9;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p35_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p35_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p35;NA;p35;51.111.531;3.244.725;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;9;100;20.604.979.701.448.300;710.653.155;8;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p36_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p36_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p36;NA;p36;51.111.205;324.568;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;13;59.13;2.136.882.280.312.000;784.891.812;11;0.12087912087912088;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p37_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p37_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p37;NA;p37;5.111.108;3.245.322;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;91;15;55.63;2.291.103.518.301.480;1.018.059.253;14;0.12087912087912088;51.12;3.24
