id;database;id_comm;id_study;id_study_ori;citation;study;site;plot;id_comm_source;exact_lat;exact_long;age;age_ori;study_year;temp_persp_class2;stage;study_common_taxon;organism_threshold;metric;metric_source;aggregated_data;sampling_method;sampling_effort_within;sampling_effort_among;n_comm;n_comm_available;effort_ori;historic_impact;predisturbances;disturbance1_age;disturbance2;n_disturbances;current_impact;notes;priority;country;study_common_taxon_clean;study_common_taxon_strgroup;disturbance1_age_clean;disturbance2_clean;predisturbances_clean;current_impact_clean;postdisturbance;restoration;protection;use;recovering_cond;coord_accuracy;taxon_level;richness_study;richness;abund;shannon;PD;SR;error_class;lat;lon
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p19_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p19_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p19;NA;p19;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;20;35.745;2.93791868478546;796.903057;14;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p2_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p2_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p2;NA;p2;51.12;3.22;2;2;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;16;27.36;2.45989760408348;819.3504458;13;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p20_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p20_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p20;NA;p20;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;23;35.1;3.27356059010464;1244.2029638;18;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p21_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p21_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p21;NA;p21;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;18;76.35;2.57854920023411;821.9206352;14;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p22_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p22_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p22;NA;p22;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;19;46.13;2.67724120424421;853.5014468;14;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p23_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p23_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p23;NA;p23;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;18;66.37;3.03011738063199;1108.285626;15;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p24_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p24_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p24;NA;p24;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;13;96.48;1.01654930067337;1158.551181;12;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p25_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p25_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p25;NA;p25;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;14;45.97;2.35779130902314;648.844491;9;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p26_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p26_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p26;NA;p26;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;12;75.02;2.70608257486253;675.283187;10;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p27_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p27_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p27;NA;p27;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;17;46.87;3.08730525196003;813.508484;13;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p28_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p28_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p28;NA;p28;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;19;74.72;1.69426338767846;936.334162;13;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p29_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p29_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p29;NA;p29;51.11;3.25;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;16;44.92;1.3798558961167;1045.1213648;14;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p3_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p3_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p3;NA;p3;51.12;3.22;2;2;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;14;44.14;2.96960160809726;742.332007;11;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p30_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p30_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p30;NA;p30;51.11;3.25;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;16;20.51;2.86845347632324;917.306619;14;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p31_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p31_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p31;NA;p31;51.11;3.25;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;10;50.14;1.73155964341594;624.207677;9;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p32_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p32_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p32;NA;p32;51.11;3.24;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;14;76.28;2.36992920347664;859.116337;10;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p33_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p33_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p33;NA;p33;51.11;3.24;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;9;100;1.21592053195753;834.38771;9;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p34_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p34_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p34;NA;p34;51.11;3.25;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;10;100;2.13346961566617;763.083031;9;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p35_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p35_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p35;NA;p35;51.11;3.24;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;9;100;2.06049797014483;710.653155;8;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p36_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p36_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p36;NA;p36;51.11;3.25;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;14;63.13;2.34213265002889;784.891812;11;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p37_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p37_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p37;NA;p37;51.11;3.25;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;16;59.13;2.47971693470376;1018.059253;14;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p38_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p38_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p38;NA;p38;51.12;3.25;4;4;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;16;94;2.55868121424532;1051.556426;13;0.130434782608696;51.12;3.24
