taxon_clean;taxon_ori;kingdom;phylum;class;order;family;genus;IsGymnosperm
62;62;No identified;No identified;No identified;No identified;No identified;No identified;No identified
63;63;No identified;No identified;No identified;No identified;No identified;No identified;No identified
64;64;No identified;No identified;No identified;No identified;No identified;No identified;No identified
65;65;No identified;No identified;No identified;No identified;No identified;No identified;No identified
66;66;No identified;No identified;No identified;No identified;No identified;No identified;No identified
67;67;No identified;No identified;No identified;No identified;No identified;No identified;No identified
68;68;No identified;No identified;No identified;No identified;No identified;No identified;No identified
69;69;No identified;No identified;No identified;No identified;No identified;No identified;No identified
70;70;No identified;No identified;No identified;No identified;No identified;No identified;No identified
7;71;No identified;No identified;No identified;No identified;No identified;No identified;No identified
72;72;No identified;No identified;No identified;No identified;No identified;No identified;No identified
73;73;No identified;No identified;No identified;No identified;No identified;No identified;No identified
74;74;No identified;No identified;No identified;No identified;No identified;No identified;No identified
75;75;No identified;No identified;No identified;No identified;No identified;No identified;No identified
76;76;No identified;No identified;No identified;No identified;No identified;No identified;No identified
77;77;No identified;No identified;No identified;No identified;No identified;No identified;No identified
78;78;No identified;No identified;No identified;No identified;No identified;No identified;No identified
79;79;No identified;No identified;No identified;No identified;No identified;No identified;No identified
80;80;No identified;No identified;No identified;No identified;No identified;No identified;No identified
8;81;No identified;No identified;No identified;No identified;No identified;No identified;No identified
82;82;No identified;No identified;No identified;No identified;No identified;No identified;No identified
83;83;No identified;No identified;No identified;No identified;No identified;No identified;No identified
84;84;No identified;No identified;No identified;No identified;No identified;No identified;No identified
85;85;No identified;No identified;No identified;No identified;No identified;No identified;No identified
86;86;No identified;No identified;No identified;No identified;No identified;No identified;No identified
87;87;No identified;No identified;No identified;No identified;No identified;No identified;No identified
88;88;No identified;No identified;No identified;No identified;No identified;No identified;No identified
89;89;No identified;No identified;No identified;No identified;No identified;No identified;No identified
90;90;No identified;No identified;No identified;No identified;No identified;No identified;No identified
9;91;No identified;No identified;No identified;No identified;No identified;No identified;No identified
92;92;No identified;No identified;No identified;No identified;No identified;No identified;No identified
93;93;No identified;No identified;No identified;No identified;No identified;No identified;No identified
94;94;No identified;No identified;No identified;No identified;No identified;No identified;No identified
95;95;No identified;No identified;No identified;No identified;No identified;No identified;No identified
96;96;No identified;No identified;No identified;No identified;No identified;No identified;No identified
97;97;No identified;No identified;No identified;No identified;No identified;No identified;No identified
98;98;No identified;No identified;No identified;No identified;No identified;No identified;No identified
99;99;No identified;No identified;No identified;No identified;No identified;No identified;No identified
0;100;No identified;No identified;No identified;No identified;No identified;No identified;No identified
0;101;No identified;No identified;No identified;No identified;No identified;No identified;No identified
2;102;No identified;No identified;No identified;No identified;No identified;No identified;No identified
3;103;No identified;No identified;No identified;No identified;No identified;No identified;No identified
4;104;No identified;No identified;No identified;No identified;No identified;No identified;No identified
5;105;No identified;No identified;No identified;No identified;No identified;No identified;No identified
6;106;No identified;No identified;No identified;No identified;No identified;No identified;No identified
7;107;No identified;No identified;No identified;No identified;No identified;No identified;No identified
8;108;No identified;No identified;No identified;No identified;No identified;No identified;No identified
9;109;No identified;No identified;No identified;No identified;No identified;No identified;No identified
0;110;No identified;No identified;No identified;No identified;No identified;No identified;No identified
;111;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
2;112;No identified;No identified;No identified;No identified;No identified;No identified;No identified
3;113;No identified;No identified;No identified;No identified;No identified;No identified;No identified
4;114;No identified;No identified;No identified;No identified;No identified;No identified;No identified
5;115;No identified;No identified;No identified;No identified;No identified;No identified;No identified
6;116;No identified;No identified;No identified;No identified;No identified;No identified;No identified
7;117;No identified;No identified;No identified;No identified;No identified;No identified;No identified
8;118;No identified;No identified;No identified;No identified;No identified;No identified;No identified
9;119;No identified;No identified;No identified;No identified;No identified;No identified;No identified
20;120;No identified;No identified;No identified;No identified;No identified;No identified;No identified
2;121;No identified;No identified;No identified;No identified;No identified;No identified;No identified
22;122;No identified;No identified;No identified;No identified;No identified;No identified;No identified
23;123;No identified;No identified;No identified;No identified;No identified;No identified;No identified
24;124;No identified;No identified;No identified;No identified;No identified;No identified;No identified
25;125;No identified;No identified;No identified;No identified;No identified;No identified;No identified
26;126;No identified;No identified;No identified;No identified;No identified;No identified;No identified
27;127;No identified;No identified;No identified;No identified;No identified;No identified;No identified
28;128;No identified;No identified;No identified;No identified;No identified;No identified;No identified
29;129;No identified;No identified;No identified;No identified;No identified;No identified;No identified
30;130;No identified;No identified;No identified;No identified;No identified;No identified;No identified
3;131;No identified;No identified;No identified;No identified;No identified;No identified;No identified
32;132;No identified;No identified;No identified;No identified;No identified;No identified;No identified
33;133;No identified;No identified;No identified;No identified;No identified;No identified;No identified
34;134;No identified;No identified;No identified;No identified;No identified;No identified;No identified
35;135;No identified;No identified;No identified;No identified;No identified;No identified;No identified
36;136;No identified;No identified;No identified;No identified;No identified;No identified;No identified
37;137;No identified;No identified;No identified;No identified;No identified;No identified;No identified
38;138;No identified;No identified;No identified;No identified;No identified;No identified;No identified
39;139;No identified;No identified;No identified;No identified;No identified;No identified;No identified
40;140;No identified;No identified;No identified;No identified;No identified;No identified;No identified
4;141;No identified;No identified;No identified;No identified;No identified;No identified;No identified
42;142;No identified;No identified;No identified;No identified;No identified;No identified;No identified
43;143;No identified;No identified;No identified;No identified;No identified;No identified;No identified
44;144;No identified;No identified;No identified;No identified;No identified;No identified;No identified
Abarema sp ;Abarema  sp. 1;Plantae;Tracheophyta;Magnoliopsida;Rosales;Moraceae;Ficus;No
Abarema sp 2;Abarema  sp. 2;Plantae;Tracheophyta;Magnoliopsida;Rosales;Moraceae;Ficus;No
Abarema adenophora;Abarema adenophora;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Jupunba;No
Abarema cochleata;Abarema cochleanta;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Abarema indicata;Abarema indicata;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Jupunba;No
Abarema jupunba var jupunba;Abarema jupunba var. jupunba;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Abarema lucida;Abarema lucida;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Abarema sp 3;Abarema sp 3;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Abarema sp;Abarema sp.;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Archidendron;No
Abies firma;Abies firma;Plantae;Tracheophyta;Pinopsida;Pinales;Pinaceae;Abies;No
Abies lasiocarpa;Abies lasiocarpa;Plantae;Tracheophyta;Pinopsida;Pinales;Pinaceae;Abies;No
Abroma mollis;Abroma.mollis;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Abroma;No
Abrus Catechu;Abrus Catechu;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Abrus Precatorius;Abrus Precatorius;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Abuta sp;Abuta  sp.;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Abroma;No
Abuta grandifolia;Abuta cf. grandiflora (Mart.) Sandw.;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Abroma;No
Abuta panamensis;Abuta panamensis;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Menispermaceae;Abuta;No
Acacia aroma;Acacia aroma;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vachellia;No
Acacia auriculaeformis;Acacia auriculaeformis;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia auriculiformis;Acacia auriculiformis;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia centralis;Acacia centralis;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Mariosousa;No
Acacia collinsii;Acacia collinsi Saff.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acacia confusa;Acacia confusa;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia cornigera;Acacia cornigera;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia cornigera;Acacia cornigera (L.) Willd.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acacia elongata;Acacia elongata;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia ferruginea;Acacia ferruginea;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia kamerunensis;Acacia kamerunensis;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Senegalia;No
Acacia longifolia;Acacia longifolia;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia loretensis;Acacia loretensis J.F. Macbr.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acacia mangium;Acacia mangium;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia melanoxylon;Acacia melanoxylon;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia pennatula;Acacia pennatula (Schltdl. y Cham.) Benth.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acacia pentagona;Acacia pentagona;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Senegalia;No
Acacia polyphylla;Acacia polyphylla DC.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acacia suaveolens;Acacia suaveolens;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia tenuifolia;Acacia tenuifolia;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia terminalis;Acacia terminalis;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acacia ulicifolia;Acacia ulicifolia;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;No
Acalypha diversifolia;Acalypha diversifolia;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha;No
Acalypha seleriana;Acalypha seleriana Greenm.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acalypha skutchii;Acalypha skutchii;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha;No
Acalypha;Acalypha sp.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acalypha grandis;Acalypha.grandis;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha;No
Acalypha sp ;Acalypha.sp.1;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha;No
Acalypha sp 2;Acalypha.sp.2;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha;No
Acanthaceae sp;Acanthaceae sp.;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha;No
Acer amplum;Acer amplum;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;No
Acer cordatum;Acer cordatum;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;No
Acer Oblongum;Acer Oblongum;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acer pseudoplatanus;Acer pseudoplatanus;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;No
Acer pubipalmatum;Acer pubipalmatum;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;No
Acer rubrum;Acer rubrum;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;No
Acer rubrum;Acer rubrum L.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acer saccharum;Acer saccharum;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;No
Acer saccharum;Acer saccharum Marsh.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acer sieboldianum;Acer sieboldianum;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;No
Achillea millefolium;Achillea millefolium;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;No
Acianthus exsertus;Acianthus exsertus;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Acianthus;No
Acosmium cardenasii;Acosmium cardenasii H. S. Irwin& Arroyo;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acosmium panamense;Acosmium panamensis;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acranthera frutescens;Acranthera frutescens;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Acranthera;No
Acranthera sessiliflora;Acranthera sessiliflora;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Acranthera;No
Acranthera sessiliflora;Acranthera sessiliflora;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acridocarpus smeathmannii;Acridocarpus smeathmanii;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acriopsis javanica;Acriopsis javanica;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Acriopsis;No
Acrocomia vinifera;Acrocomia vinifera;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Acrocomia;No
Acronychia pedunculata;Acronychia pedunculata;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Rutaceae;Acronychia;No
Acronychia pedunculata;Acronycia pedunculata (L.) Miq.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Acroporium pungens;Acroporium pungens;Plantae;Bryophyta;Bryopsida;Hypnales;Sematophyllaceae;Acroporium;No
Acrostichum aureum;Acrostichum.aureum;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Acrostichum;No
Acrostichum sp ;Acrostichum.sp.1;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Acrostichum;No
Acrostichum sp 2;Acrostichum.sp.2;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Acrostichum;No
Acrostichum sp 3;Acrostichum.sp.3;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Acrostichum;No
Acrostichum sp 4;Acrostichum.sp.4;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Acrostichum;No
Actaea alba;Actaea alba;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Actaea;No
Actaea rubra;Actaea rubra;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Actaea;No
Actinodaphne glabra;Actinodaphne glabra;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Actinodaphne;No
Actinodaphne henryi;Actinodaphne henryi;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Actinodaphne;No
Actinodaphne lancifolia;Actinodaphne lancifolia;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Litsea;No
Actinodaphne longifolia;Actinodaphne longifolia;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Actinodaphne;No
Actinodaphne omeiensis;Actinodaphne omeiensis;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Actinodaphne;No
Actinodaphne;Actinodaphne sp.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Actinodaphne sp ;Actinodaphne sp. 1;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Actinodaphne;No
Actinodaphne sp 2;Actinodaphne sp. 2;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Actinodaphne;No
Actinotus helianthi;Actinotus helianthi;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Actinotus;No
Adelia barbinervis;Adelia barbinervis Schlecht. et Cham.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Adenanthera microsperma;Adenanthera microsperma;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Adenanthera;No
Adenanthera pavonina;Adenanthera pavonia;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Adenanthera pavonina;Adenanthera pavonina;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Adenanthera;No
Adenia cissampeloides;Adenia cissampeloides;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Passifloraceae;Adenia;No
Adenia cordifolia;Adenia cordifolia;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Passifloraceae;Adenia;No
Adenia macrophylla;Adenia macrophylla;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Passifloraceae;Adenia;No
Adenia;Adenia sp.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Adenia sp;Adenia sp.;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Passifloraceae;Adenia;No
Adenostemma lavenia;Adenostemma lavenia;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Adenostemma;No
Adhatoda Vasica;Adhatoda Vasica;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Adiantum Capillus-Veneris;Adiantum Capillus-Veneris;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Adiantum;No
Adiantum cordifolium;Adiantum cordifolia;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Adiantum pedatum;Adiantum pedatum;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Adiantum;No
Adiantum pedatum;Adiantum pedatum L;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Adiantum;Adiantum sp.2;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Adiantum sp 2;Adiantum sp.2;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Adiantum;No
Adiantum;Adiantum sp.3;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Adiantum sp 3;Adiantum sp.3;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Adiantum;No
Adina minutiflora;Adina minutiflora;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Adina;No
Adinandra borneensis;Adinandra borneensis;Plantae;Tracheophyta;Magnoliopsida;Ericales;Pentaphylacaceae;Adinandra;No
Adinandra carolina;Adinandra carolina;Plantae;Tracheophyta;Magnoliopsida;Ericales;Pentaphylacaceae;Adinandra;No
Adinandra dumosa;Adinandra dumosa;Plantae;Tracheophyta;Magnoliopsida;Ericales;Pentaphylacaceae;Adinandra;No
Adinandra hainanensis;Adinandra hainanensis;Plantae;Tracheophyta;Magnoliopsida;Ericales;Pentaphylacaceae;Adinandra;No
Adinandra integerrima;Adinandra integerrima T. & ex Miq.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Adinandra millettii;Adinandra millettii;Plantae;Tracheophyta;Magnoliopsida;Ericales;Pentaphylacaceae;Adinandra;No
ADOXA M0SCMATELL;ADOXA M0SCMATELL;Plantae;Tracheophyta;Magnoliopsida;Ericales;Pentaphylacaceae;Adinandra;No
Adrastaea salicifolia;Adrastaea salicifolia;Plantae;Tracheophyta;Magnoliopsida;Dilleniales;Dilleniaceae;Hibbertia;No
Aeginetia;Aeginetia sp.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Aeginetia sp;Aeginetia sp.;Plantae;Tracheophyta;Magnoliopsida;Dilleniales;Dilleniaceae;Hibbertia;No
Aegiphila cephalophora;Aegiphila cephalophora;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila;No
Aegiphila elata;Aegiphila elata;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila;No
Aegiphila falcata;Aegiphila falcata;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila;No
Aegle marmelos;Aegle marmelos;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Rutaceae;Aegle;No
AEGOPODIUM PODAGR;AEGOPODIUM PODAGR;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Rutaceae;Aegle;No
Aegopodium podagraria;Aegopodium podagraria;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Aegopodium;No
Aeschynanthus radicans;Aeschynanthus radicans;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Gesneriaceae;Aeschynanthus;No
Aesculus glabra;Aesculus glabra;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;No
Aesculus octandra;Aesculus octandra;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;No
Afzelia rhomboidea;Afzelia rhomboidea;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Afzelia;No
Afzelia xylocarpa;Afzelia xylocarpa;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Afzelia;No
Agathis borneensis;Agathis borneensis;Plantae;Tracheophyta;Pinopsida;Pinales;Araucariaceae;Agathis;No
Agauria salicifolia;Agauria salicifolia (Comm.) Hook.f.ex Oliv.;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
Agelaea borneensis;Agelaea borneensis;Plantae;Tracheophyta;Magnoliopsida;Oxalidales;Connaraceae;Agelaea;No
Agelaea macrophylla;Agelaea macrophylla;Plantae;Tracheophyta;Magnoliopsida;Oxalidales;Connaraceae;Agelaea;No
Agelaea paradoxa;Agelaea paradoxa;Plantae;Tracheophyta;Magnoliopsida;Oxalidales;Connaraceae;Castanola;No
Agelaea trifolia;Agelaea trifolia;Plantae;Tracheophyta;Magnoliopsida;Oxalidales;Connaraceae;Agelaea;No
Agelaea trinervis;Agelaea trinervis;Plantae;Tracheophyta;Magnoliopsida;Oxalidales;Connaraceae;Agelaea;No
Ageratum conyzoides;Ageratum conyzoides;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratum;No
Aglaia;Aglaia;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratum;No
Aglaia argentea;Aglaia argentea;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aglaia;No
Aglaia elliptica;Aglaia elliptica;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aglaia;No
Aglaia eximia;Aglaia eximia;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aglaia;No
Aglaia korthalsii;Aglaia korthalsii;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aglaia;No
Aglaia leptantha;Aglaia leptantha;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aglaia;No
Aglaia macrocarpa;Aglaia macrocarpa;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aglaia;No
Aglaia megistocarpa;Aglaia megistocarpa;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Meliaceae;Aglaia;No
